component_id,lot_id,is_defective,Value_0h_iddq_ua,Value_24h_iddq_ua,Value_96h_iddq_ua,Value_168h_iddq_ua,Value_0h_leakage_ua,Value_24h_leakage_ua,Value_96h_leakage_ua,Value_168h_leakage_ua,Value_0h_prop_delay_ns,Value_24h_prop_delay_ns,Value_96h_prop_delay_ns,Value_168h_prop_delay_ns
C_00023,LOT_000,False,18.8934,20.1927,20.233,19.7573,10.7179,11.1091,11.3156,11.8675,4.6791,4.5167,4.4549,4.568
C_00024,LOT_000,False,22.6493,24.068,23.8358,24.8958,10.3418,10.4004,10.7056,10.6124,4.7997,4.9747,4.8818,4.8996
C_00025,LOT_000,False,19.5956,19.7208,19.9431,20.213,10.5323,10.9801,10.3679,10.819,4.6439,4.6963,4.7384,4.9518
C_00026,LOT_000,False,22.2717,22.0426,22.0247,22.6884,9.9214,10.1223,10.4946,10.7344,4.9866,4.8918,5.0371,4.9038
C_00027,LOT_000,False,22.4357,23.3536,24.4954,23.5555,10.6048,11.0558,11.5228,11.5595,4.9363,4.8719,5.0134,5.1828
C_00028,LOT_000,False,21.2329,20.6009,21.8561,21.4137,10.9831,10.95,11.68,11.5169,4.8942,4.8711,5.1137,5.1019
C_00029,LOT_000,False,20.3099,22.3402,23.1163,22.1134,11.3288,11.2634,11.725,11.6637,4.3187,4.2645,4.458,4.4907
C_00030,LOT_000,False,22.0189,23.0271,22.0353,22.9427,10.7277,11.1216,11.8482,11.7721,5.1205,4.9944,4.9075,5.1149
C_00031,LOT_000,False,22.307,23.5328,23.5973,24.7264,9.8247,10.3968,10.4268,10.1911,5.1111,5.1318,5.2671,5.1469
C_00032,LOT_000,False,21.2884,22.1101,22.3534,21.8214,10.2132,10.4808,10.288,10.4483,4.7245,4.6236,4.5954,4.7211
C_00033,LOT_000,False,20.0222,20.0837,21.2519,20.9948,9.7154,9.9893,10.0273,10.2946,4.3943,4.4959,4.6018,4.864
C_00034,LOT_000,False,22.6042,21.7434,21.727,23.353,10.94,10.9653,11.2475,11.2222,5.2652,5.3816,5.5251,5.4325
C_00035,LOT_000,False,20.8541,21.4757,21.5672,21.8479,9.611,10.3796,10.5958,10.6734,5.1012,5.0727,5.0654,5.4203
C_00036,LOT_000,False,21.9243,22.8784,22.6372,22.3563,11.2137,11.4536,11.4785,12.054,4.8707,4.9978,5.0008,5.0006
C_00037,LOT_000,False,20.9282,21.4484,21.5422,21.1483,10.8203,10.9105,11.0262,10.9107,4.5207,4.5149,4.6416,4.614
C_00038,LOT_000,False,20.3663,20.4744,20.5427,21.1734,10.6171,10.4662,10.8413,11.4272,4.0257,4.1188,4.145,4.1792
C_00039,LOT_000,False,22.4276,21.993,23.0357,22.6573,11.6822,11.5802,12.477,12.4516,4.7876,4.8026,4.9061,4.9729
C_00040,LOT_000,False,20.0993,20.4051,20.0972,20.9383,10.7676,10.9058,10.9101,11.3703,4.9226,4.9205,4.9656,4.9999
C_00041,LOT_001,False,26.8509,27.967,27.3209,28.6842,9.8382,9.9702,10.138,10.3377,3.8752,4.0998,3.9378,3.8673
C_00042,LOT_001,False,29.1048,30.3851,30.4505,31.319,9.7142,9.6191,10.1635,10.3843,3.7535,3.8118,3.7807,3.816
C_00043,LOT_001,False,29.9352,30.1168,31.0258,30.8263,10.6123,11.0003,11.2225,11.9184,3.846,3.5565,3.7259,3.9074
C_00044,LOT_001,False,30.477,30.8317,30.3869,31.3156,9.4618,10.1135,9.9184,10.1839,3.7053,3.736,3.7822,3.8265
C_00045,LOT_001,False,28.5831,27.8098,29.2358,29.1836,9.356,9.992,10.4935,10.5077,3.9229,3.9074,3.8249,3.8776
C_00046,LOT_001,False,27.6392,28.5849,28.7495,28.1072,10.3331,10.3916,10.8101,11.3097,4.1489,4.1668,4.2771,4.2629
C_00047,LOT_001,False,24.7068,25.0223,24.8385,24.6985,10.7399,11.0254,10.878,11.5958,4.0927,3.9837,4.1114,4.1138
C_00048,LOT_001,False,26.1394,26.6158,28.2117,26.4583,10.7051,10.9517,11.5012,12.1199,4.2545,4.2991,4.2689,4.4197
C_00049,LOT_001,False,26.6376,27.1964,28.0426,28.7936,10.7332,11.2113,11.6849,11.5561,4.5796,4.5606,4.6346,4.6153
C_00050,LOT_001,False,29.8864,30.4262,30.1896,30.7403,10.1499,10.08,10.2247,10.5128,4.2408,4.2564,4.1482,4.3178
C_00051,LOT_001,False,27.811,28.4703,28.0274,29.0445,10.072,10.012,10.3488,10.9346,3.8864,3.893,4.0687,3.9342
C_00052,LOT_001,False,27.9482,29.185,27.2581,27.6619,8.855,9.3454,9.2813,9.7131,3.8086,3.7578,3.8808,3.8935
C_00053,LOT_001,False,23.576,23.7672,23.3378,23.6991,11.0155,11.1168,11.5031,12.1509,3.6681,3.7014,3.6797,3.6488
C_00054,LOT_001,False,25.9615,25.9753,25.6831,26.5059,9.5086,9.8682,10.2395,10.5128,4.1076,4.086,4.0099,4.1073
C_00055,LOT_001,False,28.1601,28.4294,28.6794,30.7205,11.8197,11.374,11.5608,11.9509,3.9549,3.9318,3.8011,3.9183
C_00056,LOT_001,False,26.0342,26.9285,27.2831,26.9356,8.8764,9.2254,9.2696,9.4959,3.4711,3.6541,3.6845,3.612
C_00057,LOT_001,False,28.5187,29.8097,29.3714,31.1287,10.8935,10.6372,11.6154,11.4712,4.1932,4.2156,4.3522,4.295
C_00058,LOT_001,False,26.7602,27.5874,27.9305,27.2321,10.1322,10.1463,10.6951,11.0575,3.9395,4.1286,4.0432,4.0071
C_00059,LOT_001,False,30.9161,31.3255,30.6964,32.4953,8.9439,9.0545,8.9101,9.2529,4.003,4.0302,4.1277,3.9622
C_00060,LOT_001,False,26.0807,26.5163,27.5915,26.8223,10.5213,11.1974,10.6902,11.4952,3.9273,3.9543,4.0108,3.8973
C_00061,LOT_001,True,30.3972,39.7891,52.0124,61.505,10.84,17.4241,28.3151,37.6596,3.8838,4.0384,4.2805,4.7324
C_00062,LOT_001,True,30.7239,41.6951,54.7399,63.524,9.7697,18.1273,32.4515,44.5272,4.0832,4.3311,4.4352,4.795
C_00063,LOT_001,False,29.6199,29.8008,27.8293,29.5591,10.95,10.6373,11.2031,11.4654,3.9579,3.7869,3.9084,3.8196
C_00064,LOT_001,False,28.6178,28.8571,28.8934,28.9804,10.7627,11.7542,11.7531,11.8021,4.0618,4.1217,4.0674,4.2974
C_00065,LOT_001,False,28.2501,27.8162,27.4963,28.6424,11.5403,11.5807,12.1362,12.3767,4.0933,4.0573,4.0847,4.0371
C_00066,LOT_001,False,25.6677,27.1168,27.1904,26.593,9.9643,10.6238,10.5734,11.0346,3.7533,3.7461,3.9041,3.7975
C_00067,LOT_001,False,28.692,28.9602,29.1245,30.4816,10.5255,10.562,11.2252,12.0486,4.1474,4.167,4.3764,4.0952
C_00068,LOT_001,False,29.4146,29.1205,29.6726,29.4607,11.3478,11.6454,12.1926,12.1899,3.6728,3.5784,3.7305,3.6035
C_00069,LOT_001,False,31.5218,32.0348,30.5823,31.0194,9.8439,10.2652,10.2531,11.0637,3.9243,3.8094,3.8779,3.7719
C_00070,LOT_001,False,28.1005,30.2424,28.9092,30.1489,10.398,10.2784,10.1632,10.9492,3.4869,3.5757,3.5478,3.5337
C_00071,LOT_001,False,26.5334,26.7301,27.8335,28.0572,10.2364,10.3015,10.0773,10.3864,3.8027,3.7901,3.8218,3.8563
C_00072,LOT_001,False,25.9375,24.4389,25.9179,26.4685,10.3758,10.5732,11.1346,11.4171,3.855,3.7553,3.7195,3.9874
C_00073,LOT_001,False,27.773,28.6338,29.6473,29.9544,9.9552,9.9614,10.3928,10.5758,3.6036,3.5942,3.5806,3.5798
C_00074,LOT_001,False,28.4107,29.0203,29.4968,29.1041,9.978,10.393,11.1798,10.4748,4.1961,4.263,4.0819,4.1214
C_00075,LOT_001,False,25.1514,26.0227,25.3017,26.3367,9.8979,10.689,10.9011,11.1859,3.8184,3.8535,4.0167,3.9772
C_00076,LOT_001,False,26.6247,25.889,26.6596,26.744,9.7686,10.3868,10.4571,11.0716,3.8392,3.9895,4.0301,3.9872
C_00077,LOT_001,False,29.5733,30.2752,30.3176,31.1125,10.8188,10.7986,11.3417,11.7995,3.7347,3.6911,3.8294,3.7722
C_00078,LOT_001,False,31.6578,31.1911,31.2538,30.4223,9.109,9.4258,9.3303,10.0885,4.0602,4.0198,4.0453,4.1518
C_00079,LOT_001,False,26.9098,27.2206,27.4522,27.0164,11.3359,11.271,11.241,11.1703,3.7648,3.7363,3.8301,3.8086
C_00080,LOT_001,False,28.9494,29.2457,30.5109,30.4323,10.4189,10.5843,10.9942,11.0009,4.3062,4.2312,4.3051,4.3452
C_00081,LOT_002,False,22.4784,22.3373,21.4406,22.2405,8.7848,8.7775,8.7481,8.5445,4.458,4.666,4.7796,4.5683
C_00082,LOT_002,True,21.1342,27.8034,36.6097,41.7951,8.8171,11.5456,14.8404,17.0056,4.6361,4.8043,5.4187,6.0736
C_00083,LOT_002,False,22.4505,23.5293,24.0866,24.7376,8.9851,8.9926,8.9647,8.71,4.1944,4.1162,4.2732,4.3079
C_00084,LOT_002,False,19.8948,19.5704,20.0327,20.5686,8.6871,8.8321,9.0451,9.2722,4.309,4.3131,4.2435,4.3097
C_00085,LOT_002,False,21.8869,22.3953,22.9844,22.569,8.7436,9.2455,9.2425,9.1569,4.1029,4.337,4.452,4.4363
C_00086,LOT_002,False,22.5589,21.9104,21.9468,21.6318,9.1296,8.9177,9.5385,9.4376,4.3908,4.33,4.3009,4.3648
C_00087,LOT_002,False,22.6625,21.2977,23.3828,21.6543,8.8372,9.1525,9.2922,9.2621,4.1338,4.1907,4.4071,4.1822
C_00088,LOT_002,False,20.7398,22.182,21.7178,21.4011,8.5255,8.9179,8.9719,8.5983,4.2504,4.1561,4.1008,4.2722
C_00089,LOT_002,False,21.3684,20.7425,21.46,21.5682,8.671,8.4043,8.5047,8.2148,4.4446,4.4169,4.5498,4.5453
C_00090,LOT_002,False,23.5733,23.1979,23.2076,22.9825,8.4537,8.6463,9.0637,8.6477,4.4046,4.4683,4.4116,4.4293
C_00091,LOT_002,False,21.528,21.6521,22.4079,22.5241,9.1086,9.0573,9.2379,9.3087,3.9594,4.1695,4.1579,4.0296
C_00092,LOT_002,False,22.5274,22.7049,22.4791,22.6574,9.1055,9.1762,9.1866,9.498,4.5283,4.7024,4.5529,4.6695
C_00093,LOT_002,True,22.083,35.9952,54.3287,66.6165,8.9662,12.4321,17.2212,20.4625,4.3402,4.823,5.3591,5.4189
C_00094,LOT_002,False,22.773,22.5322,23.0458,22.9053,8.288,8.2755,8.8694,8.6627,4.3086,4.3498,4.2528,4.3753
C_00095,LOT_002,False,22.575,23.3181,23.5024,23.9182,7.6608,7.4791,7.7415,7.916,4.527,4.5629,4.4538,4.3936
C_00096,LOT_002,False,20.6316,20.8385,21.2176,21.073,9.0027,8.8673,8.8871,9.2681,4.5617,4.5936,4.6757,4.6788
C_00097,LOT_002,False,23.069,23.6793,23.5207,23.9842,8.3396,8.7648,8.4196,8.6512,4.6012,4.5085,4.5284,4.831
C_00098,LOT_002,False,22.9054,23.2813,23.4202,23.083,8.511,8.3634,8.5289,8.5543,4.515,4.7385,4.7012,4.7161
C_00099,LOT_002,False,20.4446,20.6875,21.023,20.8364,10.0792,10.0934,10.1214,10.3312,4.8849,4.8349,5.0436,5.0542
C_00100,LOT_002,False,19.3278,19.2987,19.6651,19.9887,9.6027,9.7121,10.0616,10.189,4.42,4.4332,4.5519,4.596
C_00101,LOT_002,False,21.756,21.5867,22.2197,22.0216,9.4708,9.1265,9.4542,9.5681,4.1782,4.3324,4.2052,4.2447
C_00102,LOT_002,False,20.8469,22.2082,22.4749,22.321,7.889,8.1972,8.3639,8.353,4.0956,3.9336,4.03,4.1057
C_00103,LOT_002,False,21.0146,21.3648,21.5716,21.4275,9.3187,9.5376,9.5145,9.0235,3.8464,3.9971,4.0405,3.9949
C_00104,LOT_002,False,22.5171,23.508,23.2978,22.4248,7.7419,8.4379,8.4525,8.7737,4.5019,4.6775,4.7003,4.882
C_00105,LOT_002,False,21.7452,21.737,22.5246,22.678,8.3149,8.0709,8.5525,8.7486,4.8203,4.7819,4.8827,5.0829
C_00106,LOT_002,False,23.342,23.315,24.5382,24.6522,8.9533,8.6714,9.3662,8.9968,4.3633,4.405,4.4204,4.4992
C_00107,LOT_002,False,22.8096,23.2394,23.0209,22.854,7.5065,7.7052,7.7187,8.118,4.6021,4.6247,4.4278,4.509
C_00108,LOT_002,False,21.3791,20.6878,22.2196,21.8871,9.9798,10.057,10.6049,10.3699,4.5035,4.3198,4.4415,4.5712
C_00109,LOT_002,False,22.0524,22.3509,22.3805,23.0941,7.8815,7.6858,8.2339,7.948,4.2437,4.257,4.2293,4.425
C_00110,LOT_002,False,23.9137,22.7176,23.1867,24.1084,7.7247,7.2934,7.404,7.8352,4.9429,5.0562,4.8242,4.8984
C_00111,LOT_002,False,22.2378,22.8196,22.5942,23.6776,7.9502,8.0275,8.0719,8.1763,4.597,4.7517,4.8145,4.7314
C_00112,LOT_002,True,19.2726,23.4538,29.5051,33.5999,9.0311,11.4202,13.7931,15.3961,4.3066,4.8076,5.581,6.2101
C_00113,LOT_002,False,20.6478,20.8762,21.2676,21.7849,8.2909,8.4729,8.4098,8.8308,4.7204,4.8862,4.7759,4.9795
C_00114,LOT_002,False,23.1634,23.0137,23.7369,23.5275,8.881,8.802,8.7955,8.9589,4.3311,4.3066,4.2938,4.3796
C_00115,LOT_002,False,23.2309,22.7301,23.8033,23.7417,9.3439,9.0361,8.8124,9.5218,4.5808,4.4326,4.3977,4.6225
C_00116,LOT_002,False,23.6702,24.5961,24.6369,23.9688,9.1245,9.0899,9.1482,9.2741,4.6013,4.6749,4.7079,4.626
C_00117,LOT_002,False,23.1214,23.0053,23.4837,24.105,9.2497,9.6703,9.9605,9.7048,4.3211,4.137,4.3228,4.2494
C_00118,LOT_002,False,23.88,24.5978,26.0371,25.8649,9.2256,9.1774,9.4124,9.2733,4.0248,3.931,3.9875,4.0883
C_00119,LOT_002,False,21.327,21.856,21.295,22.447,7.9927,8.0115,8.5093,8.3358,4.2584,4.2119,4.2715,4.4183
C_00120,LOT_002,False,23.7381,23.3757,24.2112,24.0949,8.1397,8.3814,8.4956,8.7556,4.1519,4.317,4.1595,4.2426
C_00121,LOT_003,False,19.7971,20.0234,20.3484,20.2526,13.196,12.974,13.329,13.6373,3.6544,3.6274,3.7086,3.8231
C_00122,LOT_003,False,22.5793,21.2948,21.7298,21.9495,11.4507,11.9526,11.9467,12.0643,3.5281,3.5132,3.5138,3.5492
C_00123,LOT_003,False,18.0619,18.5648,18.5762,18.3977,13.8543,13.7319,13.8709,14.2188,3.4569,3.5341,3.4122,3.5173
C_00124,LOT_003,False,20.8688,20.15,20.5374,20.5338,11.4461,11.5455,12.0982,12.8636,3.3695,3.2393,3.3626,3.284
C_00125,LOT_003,False,21.7722,20.933,21.8839,21.8713,13.5302,13.9573,14.8004,15.1691,3.5142,3.618,3.7582,3.6814
C_00126,LOT_003,False,21.8537,21.6119,22.2688,21.8101,11.6412,12.0684,12.636,12.9652,3.8697,3.8342,3.836,3.8472
C_00127,LOT_003,False,22.9731,22.717,23.2718,24.098,12.3989,12.4065,12.7763,13.4164,3.6654,3.7991,3.5551,3.7322
C_00128,LOT_003,False,20.2483,19.5672,20.6439,21.0361,12.3266,12.4611,12.8754,12.9609,3.3803,3.4009,3.1892,3.4769
C_00129,LOT_003,False,23.9075,23.934,24.3482,23.9364,13.763,13.9492,14.7318,15.1178,3.3084,3.3349,3.282,3.4006
C_00130,LOT_003,False,21.1224,19.7415,20.0189,20.9657,13.0432,13.2755,13.4694,13.5741,3.6542,3.7627,3.7619,3.7213
C_00131,LOT_003,True,22.9517,34.7503,49.5904,59.9047,10.9539,15.238,22.1207,27.6862,3.3995,3.6008,3.9524,4.175
C_00132,LOT_003,False,21.3008,21.0359,22.1041,21.8953,12.787,12.7249,13.6225,13.4318,3.8965,4.0392,4.0397,4.0809
C_00133,LOT_003,False,22.7339,22.805,23.8903,24.275,13.23,13.5684,13.8484,14.5032,3.5649,3.8149,3.7012,3.6909
C_00134,LOT_003,False,23.1226,22.9754,22.3876,22.8629,13.8117,14.1442,14.9254,14.915,3.2749,3.4077,3.2233,3.3233
C_00135,LOT_003,False,22.9036,23.4706,23.872,23.5787,12.6495,12.3395,13.3591,13.1285,3.4429,3.5697,3.47,3.5165
C_00136,LOT_003,False,21.4171,21.7287,23.9162,23.714,12.5816,13.095,13.2916,13.8401,3.5394,3.3255,3.4501,3.4642
C_00137,LOT_003,False,23.6097,23.5028,22.6476,23.2132,14.3362,13.7964,14.1274,14.5504,3.7753,3.8086,3.8918,3.7542
C_00138,LOT_003,False,21.9783,22.8058,22.5082,22.3866,12.7603,13.4023,13.9849,14.134,3.4053,3.4249,3.4745,3.5291
C_00139,LOT_003,False,21.0314,22.1978,21.5085,21.5089,12.0401,12.0123,12.4212,12.6019,3.6204,3.4347,3.5788,3.5525
C_00140,LOT_003,False,20.9953,21.1643,21.8664,21.1925,13.464,13.3552,14.0893,15.1897,3.3678,3.2606,3.3922,3.2985
C_00141,LOT_003,False,22.8713,23.5111,23.6269,23.2584,12.4786,12.4933,12.72,13.3206,3.4125,3.3734,3.3646,3.4126
C_00142,LOT_003,False,22.3285,22.1265,22.9998,23.405,12.838,12.9693,13.3885,13.5816,3.3004,3.276,3.4582,3.4616
C_00143,LOT_003,False,23.1084,22.7556,23.1972,22.9716,14.1662,14.5735,15.1336,15.2771,3.5071,3.77,3.586,3.5196
C_00144,LOT_003,False,21.4636,21.4622,21.784,21.5312,13.005,12.9282,13.6326,13.6759,3.65,3.6943,3.6931,3.6061
C_00145,LOT_003,False,20.0786,19.6996,20.2917,20.8788,11.9842,12.3204,12.7984,13.2149,3.1769,3.1828,3.3174,3.2404
C_00146,LOT_003,False,22.1896,22.2219,21.7948,23.1384,13.2871,13.655,13.5556,13.9592,3.9477,3.8384,3.8654,4.0616
C_00147,LOT_003,False,23.5745,24.2635,24.7804,24.7899,11.8491,12.5419,12.4299,12.9821,3.6023,3.6962,3.7143,3.7444
C_00148,LOT_003,False,22.7941,24.0538,23.1476,23.5781,12.265,12.6372,12.5807,12.4335,3.6103,3.4764,3.5576,3.3519
C_00149,LOT_003,False,20.0335,20.4833,21.741,21.6155,12.5471,12.7489,12.9813,12.815,3.4268,3.2909,3.4883,3.414
C_00150,LOT_003,False,21.9874,22.8294,22.5779,22.7603,12.8443,12.7977,13.5206,13.8037,4.1772,4.0601,4.1418,4.1627
C_00151,LOT_003,False,22.917,23.3504,23.6069,23.4591,12.9566,12.9381,13.2262,14.0148,3.5784,3.6181,3.6428,3.5308
C_00152,LOT_003,False,22.1582,23.1801,23.9902,24.367,13.0407,12.82,12.9949,13.5748,3.6178,3.662,3.5671,3.6166
C_00153,LOT_003,False,20.6244,20.7497,21.3177,21.4737,12.4323,12.5482,12.2963,13.1411,3.382,3.4332,3.4094,3.5066
C_00154,LOT_003,False,21.6923,22.4123,22.4875,22.4253,12.2047,12.7532,12.431,12.8081,3.3491,3.2621,3.3233,3.2312
C_00155,LOT_003,False,23.274,24.3024,23.659,24.0175,13.4566,13.0889,13.6914,14.6261,3.5068,3.5269,3.6094,3.5708
C_00156,LOT_003,False,21.7928,23.6136,23.4257,24.048,12.6254,13.826,13.583,13.8877,3.2149,3.2089,3.3781,3.402
C_00157,LOT_003,False,22.6238,22.2248,22.7171,21.8312,12.8356,12.9917,13.6632,13.515,3.5789,3.5464,3.4614,3.4843
C_00158,LOT_003,False,20.8696,22.0433,21.3153,22.4524,12.7483,14.0898,14.7573,14.7263,3.7785,3.8051,3.8596,3.8492
C_00159,LOT_003,False,22.5885,22.9858,22.8717,23.5658,13.3735,13.3832,13.92,14.4692,3.3429,3.462,3.6027,3.5062
C_00160,LOT_003,False,21.4345,21.9592,21.6847,22.238,12.9222,13.2925,14.0307,14.0646,3.517,3.4468,3.3457,3.3423
C_00161,LOT_004,False,31.3803,31.314,30.551,31.594,10.2507,10.5727,10.7676,10.7765,4.0599,4.2956,4.216,4.2334
C_00162,LOT_004,True,32.9902,45.5306,60.7146,71.3669,10.2326,12.6761,16.6345,19.6464,4.3244,4.8629,5.3021,5.6596
C_00163,LOT_004,False,30.0157,31.1105,31.6999,31.1072,10.2346,10.5715,11.2828,10.9147,4.2506,4.1822,4.502,4.499
C_00164,LOT_004,False,29.2711,29.7037,29.3323,31.254,9.1887,8.9389,9.7687,9.8375,4.6886,4.7609,4.6926,4.684
C_00165,LOT_004,False,31.695,31.2583,32.2532,33.5083,9.6456,10.3494,10.6174,10.914,4.6104,4.4669,4.4349,4.4809
C_00166,LOT_004,False,30.8201,32.5722,31.3475,32.2755,10.7188,11.1423,11.0673,11.3221,4.4308,4.4088,4.3121,4.472
C_00167,LOT_004,False,32.7423,33.4758,33.2809,34.2678,8.9319,9.0519,8.765,8.9778,4.459,4.3469,4.5181,4.7317
C_00168,LOT_004,False,29.3589,29.1014,29.4837,29.6644,10.0185,10.6928,10.4559,10.6113,4.5912,4.5419,4.5533,4.6383
C_00169,LOT_004,False,30.7483,31.0801,30.8988,32.0956,9.61,10.0492,10.1511,10.2724,4.4815,4.4169,4.5761,4.7896
C_00170,LOT_004,False,29.9208,28.2954,27.7683,29.3685,10.2135,9.8704,10.0421,9.9168,4.1541,4.2165,4.3278,4.2681
C_00171,LOT_004,False,31.3033,31.3286,32.0208,32.1874,9.3994,9.741,10.0851,10.0752,4.3299,4.3887,4.2313,4.2454
C_00172,LOT_004,False,28.4988,27.4788,27.775,29.0896,9.4593,9.6985,10.2334,10.3866,4.2855,4.1807,4.2637,4.449
C_00173,LOT_004,False,30.1273,30.0674,30.2857,30.6986,9.7348,9.9597,9.389,9.8281,4.7196,4.8677,4.7177,4.8539
C_00174,LOT_004,False,27.5811,27.4548,28.9292,28.469,9.7774,10.1063,10.1358,10.2463,4.5363,4.4471,4.5934,4.6488
C_00175,LOT_004,False,28.4139,27.4783,28.1096,28.921,10.4596,10.142,9.8832,10.2146,4.3527,4.2131,4.487,4.2211
C_00176,LOT_004,False,27.3028,27.0962,28.1253,27.3961,10.2263,10.3512,10.4628,10.804,4.5064,4.6045,4.4483,4.5369
C_00177,LOT_004,False,31.9044,30.619,31.4694,31.8484,9.3867,9.458,9.4298,9.785,4.426,4.8101,4.4568,4.5187
C_00178,LOT_004,False,29.3503,29.5421,29.4598,29.204,8.8941,8.9222,9.0044,9.5403,4.6472,4.4651,4.4913,4.5729
C_00179,LOT_004,False,29.6234,29.819,31.3747,32.1361,10.3942,10.5183,10.9461,10.9566,4.3809,4.4098,4.3866,4.6859
C_00180,LOT_004,False,31.7244,32.3542,32.6026,32.9046,9.4778,9.9421,9.8084,9.8974,3.9945,4.1575,4.18,4.3162
C_00181,LOT_004,False,28.6854,28.5747,29.7077,30.3033,10.1901,10.344,10.4566,10.4856,4.1341,4.1238,4.2605,4.1749
C_00182,LOT_004,False,32.5328,31.9808,33.6338,33.3661,9.7692,9.9846,9.988,10.4597,4.4821,4.4819,4.6605,4.6362
C_00183,LOT_004,False,28.649,28.2304,29.1524,30.0894,9.6007,9.6926,9.9984,10.1104,4.7566,4.5727,4.5355,4.6003
C_00184,LOT_004,False,29.31,29.9125,29.7444,30.6657,9.5877,9.8781,10.0553,10.1069,4.5513,4.5147,4.5795,4.6774
C_00185,LOT_004,False,30.122,28.8718,29.4627,28.667,9.337,9.6026,9.7682,9.4876,4.3669,4.3631,4.3195,4.2979
C_00186,LOT_004,False,27.321,28.8162,29.196,29.1387,9.7667,10.0941,10.5198,10.174,4.2736,4.5262,4.3676,4.4889
C_00187,LOT_004,False,28.7939,28.0832,28.3642,28.6199,10.7397,10.9858,11.0683,11.5647,4.6611,4.6007,4.7234,4.6183
C_00188,LOT_004,False,32.3428,32.3783,35.0972,33.3408,9.3519,9.4354,9.475,9.7175,4.3068,4.4982,4.3543,4.2422
C_00189,LOT_004,True,30.7198,43.4259,56.5462,67.1993,10.5794,15.1971,21.6939,26.447,4.471,4.8118,5.2475,5.4828
C_00190,LOT_004,False,33.3285,32.14,32.8121,33.1061,9.501,9.5625,9.2067,9.5289,4.3884,4.3902,4.3924,4.2732
