component_id,lot_id,is_defective,Value_0h_iddq_ua,Value_24h_iddq_ua,Value_96h_iddq_ua,Value_168h_iddq_ua,Value_0h_leakage_ua,Value_24h_leakage_ua,Value_96h_leakage_ua,Value_168h_leakage_ua,Value_0h_prop_delay_ns,Value_24h_prop_delay_ns,Value_96h_prop_delay_ns,Value_168h_prop_delay_ns,predicted_168h_iddq_ua,predicted_slope_iddq_ua,flag_param_b_iddq_ua,predicted_168h_leakage_ua,predicted_slope_leakage_ua,flag_param_b_leakage_ua,predicted_168h_prop_delay_ns,predicted_slope_prop_delay_ns,flag_param_b_prop_delay_ns,flag_module_b,triggered_parameters_b
C_00014,LOT_000,False,23.9891,24.261,23.9536,24.4184,8.8213,8.8334,8.7974,9.3214,5.4124,5.3761,5.5896,5.5123,24.438234,0.0012307939529418999,False,9.301057,0.003247617096371126,False,5.456731,0.0005599364068773051,False,False,
C_00015,LOT_000,False,23.7599,22.9924,24.0705,23.8094,10.3827,10.098,10.7481,10.7419,4.6863,4.7074,4.8994,4.8549,23.789213,0.005533424864874946,False,10.747017,0.00450706185234917,False,4.857627,0.0010432424651251912,False,False,
C_00016,LOT_000,False,24.2855,23.3762,25.0043,24.5829,10.0758,10.8834,11.2496,11.6395,5.2646,5.2094,5.2656,5.3144,24.481857,0.007678175693088102,False,11.282528,0.0027717216915554474,False,5.401038,0.001330820624033613,False,False,
C_00017,LOT_000,False,21.2569,21.0775,21.831,21.7729,10.4793,10.1978,10.6159,11.1191,5.1319,4.9899,5.4402,5.2908,21.941422,0.005999454922146263,False,10.84032,0.0044619418991936515,False,5.219899,0.0015972165107727082,False,False,
C_00018,LOT_000,True,22.2669,26.7993,32.9346,36.9735,10.8221,13.9774,19.0153,22.6772,4.9984,5.71,7.2705,8.5196,36.81148,0.06952903802659777,True,21.87555,0.05484825914171007,True,8.443469,0.018982423941294353,True,True,"iddq_ua,leakage_ua,prop_delay_ns"
C_00019,LOT_000,False,20.233,19.906,20.2009,20.6267,10.097,10.4638,10.1729,10.5283,5.2856,5.472,5.3973,5.3463,20.817335,0.006328716172112368,False,10.886527,0.002935604593488899,False,5.4684534,-2.462911605835252e-05,False,False,
C_00020,LOT_000,False,19.7628,21.1516,20.8307,21.0716,9.5967,9.871,9.4468,9.9059,4.573,4.6482,4.7011,4.8292,21.142124,-6.580433315699846e-05,False,10.302356,0.0029955261548360156,False,4.8027096,0.001072983190748426,False,False,
C_00021,LOT_000,False,24.5196,25.4089,24.9994,25.9397,9.6577,9.7475,10.0152,10.3849,4.7419,4.73,4.8878,5.0039,25.911736,0.003491913435194233,False,10.175229,0.0029703407817416685,False,4.8756223,0.0010112657811906572,False,False,
C_00022,LOT_000,False,22.1746,22.9006,24.3226,23.4138,11.651,11.7553,12.2304,12.6808,5.321,5.349,5.3567,5.544,23.480028,0.0040238066143459695,False,12.241294,0.0033749576886494947,False,5.4576993,0.0007548562420739054,False,False,
C_00023,LOT_000,False,18.8934,20.1927,20.233,19.7573,10.7179,11.1091,11.3156,11.8675,4.6791,4.5167,4.4549,4.568,20.155764,-0.000256502596537262,False,11.590723,0.003344604428609214,False,4.6864715,0.0011789684878455258,False,False,
C_00024,LOT_000,False,22.6493,24.068,23.8358,24.8958,10.3418,10.4004,10.7056,10.6124,4.7997,4.9747,4.8818,4.8996,23.806398,-0.0018166778352525597,False,10.762839,0.002516939703623458,False,5.00308,0.00019708257781134473,False,False,
C_00025,LOT_000,False,19.5956,19.7208,19.9431,20.213,10.5323,10.9801,10.3679,10.819,4.6439,4.6963,4.7384,4.9518,20.386602,0.0046236277898152635,False,11.318283,0.0023484936184353287,False,4.8877716,0.001329663933648004,False,False,
C_00026,LOT_000,False,22.2717,22.0426,22.0247,22.6884,9.9214,10.1223,10.4946,10.7344,4.9866,4.8918,5.0371,4.9038,22.748571,0.0049025791380140505,False,10.629156,0.003519834115770134,False,5.080595,0.0013110765033298073,False,False,
C_00027,LOT_000,False,22.4357,23.3536,24.4954,23.5555,10.6048,11.0558,11.5228,11.5595,4.9363,4.8719,5.0134,5.1828,23.491573,0.0009581481509738489,False,11.425019,0.0025640226682027206,False,5.0613637,0.0013157201184166795,False,False,
C_00028,LOT_000,False,21.2329,20.6009,21.8561,21.4137,10.9831,10.95,11.68,11.5169,4.8942,4.8711,5.1137,5.1019,21.720709,0.007776450326707633,False,11.3981285,0.0031120035383436465,False,5.0566096,0.0012882613235049762,False,False,
C_00029,LOT_000,False,20.3099,22.3402,23.1163,22.1134,11.3288,11.2634,11.725,11.6637,4.3187,4.2645,4.458,4.4907,22.505005,0.0011444783528645876,False,11.7564125,0.0034236979590521865,False,4.432847,0.001169076548682319,False,False,
C_00030,LOT_000,False,22.0189,23.0271,22.0353,22.9427,10.7277,11.1216,11.8482,11.7721,5.1205,4.9944,4.9075,5.1149,23.262808,0.0016368600421481608,False,11.590723,0.003257798873053651,False,5.208444,0.0014864174895816398,False,False,
C_00031,LOT_000,False,22.307,23.5328,23.5973,24.7264,9.8247,10.3968,10.4268,10.1911,5.1111,5.1318,5.2671,5.1469,23.790037,0.0017863691329955936,False,10.761052,0.0025295286920335508,False,5.3190713,0.00130049508942498,False,False,
C_00032,LOT_000,False,21.2884,22.1101,22.3534,21.8214,10.2132,10.4808,10.288,10.4483,4.7245,4.6236,4.5954,4.7211,22.420126,0.0021529580646091093,False,10.82123,0.0023640967686971003,False,4.7645264,0.0009786553276909743,False,False,
C_00033,LOT_000,False,20.0222,20.0837,21.2519,20.9948,9.7154,9.9893,10.0273,10.2946,4.3943,4.4959,4.6018,4.864,20.84997,0.005321318499247231,False,10.315095,0.002262464915381537,False,4.6932926,0.0013707820680406374,False,False,
C_00034,LOT_000,False,22.6042,21.7434,21.727,23.353,10.94,10.9653,11.2475,11.2222,5.2652,5.3816,5.5251,5.4325,22.75646,0.007035140207078714,False,11.3981285,0.0030057535383436473,False,5.4341774,0.00036512082417806187,False,False,
C_00035,LOT_000,False,20.8541,21.4757,21.5672,21.8479,9.611,10.3796,10.5958,10.6734,5.1012,5.0727,5.0654,5.4203,21.57266,0.000673336431715225,False,10.829384,0.0031234989590115023,False,5.2870283,0.001488391060299342,False,False,
C_00036,LOT_000,False,21.9243,22.8784,22.6372,22.3563,11.2137,11.4536,11.4785,12.054,4.8707,4.9978,5.0008,5.0006,22.979456,0.0007017774158053985,False,12.039871,0.004071327887641061,False,5.0246587,0.00018651861084832225,False,False,
C_00037,LOT_000,False,20.9282,21.4484,21.5422,21.1483,10.8203,10.9105,11.0262,10.9107,4.5207,4.5149,4.6416,4.614,21.57266,0.0008629197650485606,False,11.348519,0.0030418008698357424,False,4.7046733,0.0013178700711992059,False,False,
C_00038,LOT_000,False,20.3663,20.4744,20.5427,21.1734,10.6171,10.4662,10.8413,11.4272,4.0257,4.1188,4.145,4.1792,21.219545,0.005174620585971413,False,11.001642,0.003718348799811465,False,4.232119,0.0007869380791981998,False,False,
C_00039,LOT_000,False,22.4276,21.993,23.0357,22.6573,11.6822,11.5802,12.477,12.4516,4.7876,4.8026,4.9061,4.9729,22.74783,0.005241871092054589,False,12.134041,0.0038461168924967476,False,4.956422,0.0010682073063320585,False,False,
C_00040,LOT_000,False,20.0993,20.4051,20.0972,20.9383,10.7676,10.9058,10.9101,11.3703,4.9226,4.9205,4.9656,4.9999,21.191206,0.005459069294399679,False,11.348519,0.0030744397587246417,False,5.0174127,0.0006730046007368324,False,False,
C_00041,LOT_001,False,26.8509,27.967,27.3209,28.6842,9.8382,9.9702,10.138,10.3377,3.8752,4.0998,3.9378,3.8673,28.344723,0.002623074637518997,False,10.489129,0.003603674072689479,False,4.052232,-0.00033033480114407084,False,False,
C_00042,LOT_001,False,29.1048,30.3851,30.4505,31.319,9.7142,9.6191,10.1635,10.3843,3.7535,3.8118,3.7807,3.816,30.498182,0.0007852937274508914,False,10.311336,0.004807191414303253,False,3.7977684,-9.744198322296042e-05,False,False,
C_00043,LOT_001,False,29.9352,30.1168,31.0258,30.8263,10.6123,11.0003,11.2225,11.9184,3.846,3.5565,3.7259,3.9074,30.882631,0.0053182729297213995,False,11.538862,0.003740015474955246,False,3.8139193,0.001787634068065218,False,False,
C_00044,LOT_001,False,30.477,30.8317,30.3869,31.3156,9.4618,10.1135,9.9184,10.1839,3.7053,3.736,3.7822,3.8265,31.274466,0.003074760839674198,False,10.582899,0.0032597159279717327,False,3.797645,0.0004280909167395683,False,False,
C_00045,LOT_001,False,28.5831,27.8098,29.2358,29.1836,9.356,9.992,10.4935,10.5077,3.9229,3.9074,3.8249,3.8776,29.268333,0.010128704410129129,False,10.349682,0.0024839017656114303,False,3.9419436,0.0002398864269256593,False,False,
C_00046,LOT_001,False,27.6392,28.5849,28.7495,28.1072,10.3331,10.3916,10.8101,11.3097,4.1489,4.1668,4.2771,4.2629,28.683708,0.0006861679924858866,False,10.869131,0.0033161881128946913,False,4.1910057,0.00016809518602159092,False,False,
C_00047,LOT_001,False,24.7068,25.0223,24.8385,24.6985,10.7399,11.0254,10.878,11.5958,4.0927,3.9837,4.1114,4.1138,25.419607,0.00275907751719156,False,11.636085,0.004240864976247156,False,4.139132,0.001079389047622682,False,False,
C_00048,LOT_001,False,26.1394,26.6158,28.2117,26.4583,10.7051,10.9517,11.5012,12.1199,4.2545,4.2991,4.2689,4.4197,27.161991,0.003792993884616427,False,11.55069,0.004159650675455724,False,4.34476,0.0003170829243130144,False,False,
C_00049,LOT_001,False,26.6376,27.1964,28.0426,28.7936,10.7332,11.2113,11.6849,11.5561,4.5796,4.5606,4.6346,4.6153,27.706354,0.0035413482030232707,False,11.720823,0.003538356166415747,False,4.607797,0.00032775795724656855,False,False,
C_00050,LOT_001,False,29.8864,30.4262,30.1896,30.7403,10.1499,10.08,10.2247,10.5128,4.2408,4.2564,4.1482,4.3178,30.475922,0.000345289103190094,False,10.697257,0.004286507235633002,False,4.290079,0.000233882755703395,False,False,
C_00051,LOT_001,False,27.811,28.4703,28.0274,29.0445,10.072,10.012,10.3488,10.9346,3.8864,3.893,4.0687,3.9342,28.724312,0.0017639710320366635,False,10.517715,0.003511912875705292,False,3.921812,0.0002000837326049819,False,False,
C_00052,LOT_001,False,27.9482,29.185,27.2581,27.6619,8.855,9.3454,9.2813,9.7131,3.8086,3.7578,3.8808,3.8935,28.958887,-0.0015702284706963345,False,9.809044,0.0032197491963704447,False,3.876156,0.0008219173034032184,False,False,
C_00053,LOT_001,False,23.576,23.7672,23.3378,23.6991,11.0155,11.1168,11.5031,12.1509,3.6681,3.7014,3.6797,3.6488,24.323542,0.0038634836196899482,False,11.705206,0.00408615220387777,False,3.7309775,0.00020539955033196326,False,False,
C_00054,LOT_001,False,25.9615,25.9753,25.6831,26.5059,9.5086,9.8682,10.2395,10.5128,4.1076,4.086,4.0099,4.1073,26.782171,0.005603272565205887,False,10.397449,0.0036753370814853253,False,4.1513205,0.0004536142879062208,False,False,
C_00055,LOT_001,False,28.1601,28.4294,28.6794,30.7205,11.8197,11.374,11.5608,11.9509,3.9549,3.9318,3.8011,3.9183,29.081795,0.004530519019232848,False,12.467496,0.007593721654680036,False,3.9617245,0.00020780916478898816,False,False,
C_00056,LOT_001,False,26.0342,26.9285,27.2831,26.9356,8.8764,9.2254,9.2696,9.4959,3.4711,3.6541,3.6845,3.612,27.399378,0.003269984881083173,False,9.659347,0.0030135179201761847,False,3.6400123,-9.783149825202181e-05,False,False,
C_00057,LOT_001,False,28.5187,29.8097,29.3714,31.1287,10.8935,10.6372,11.6154,11.4712,4.1932,4.2156,4.3522,4.295,30.29511,0.0033709076563517293,False,11.439822,0.005573765256669787,False,4.2412286,0.00017797625329759223,False,False,
C_00058,LOT_001,False,26.7602,27.5874,27.9305,27.2321,10.1322,10.1463,10.6951,11.0575,3.9395,4.1286,4.0432,4.0071,28.114397,0.003659701728820809,False,10.737692,0.0041068880505032,False,4.077921,-0.0003519380993313232,False,False,
C_00059,LOT_001,False,30.9161,31.3255,30.6964,32.4953,8.9439,9.0545,8.9101,9.2529,4.003,4.0302,4.1277,3.9622,32.21681,0.006189641104804133,False,9.507829,0.0031481160587734586,False,4.0682893,0.00026450888845655805,False,False,
C_00060,LOT_001,False,26.0807,26.5163,27.5915,26.8223,10.5213,11.1974,10.6902,11.4952,3.9273,3.9543,4.0108,3.8973,27.20657,0.004793539386325405,False,11.546067,0.002421300262875027,False,4.006134,0.0003599585639105908,False,False,
C_00061,LOT_001,True,30.3972,39.7891,52.0124,61.505,10.84,17.4241,28.3151,37.6596,3.8838,4.0384,4.2805,4.7324,57.36882,0.1220813902113173,True,32.046955,0.10154760492112902,True,4.0179644,-0.00014191414515177556,False,True,"iddq_ua,leakage_ua"
C_00062,LOT_001,True,30.7239,41.6951,54.7399,63.524,9.7697,18.1273,32.4515,44.5272,4.0832,4.3311,4.4352,4.795,63.30966,0.15010112406412762,True,44.470833,0.18294120017157658,True,4.539511,0.0014473000261518679,False,True,"iddq_ua,leakage_ua"
C_00063,LOT_001,False,29.6199,29.8008,27.8293,29.5591,10.95,10.6373,11.2031,11.4654,3.9579,3.7869,3.9084,3.8196,30.450888,0.004514497778150778,False,11.439822,0.005573070812225344,False,3.8734515,0.0006010518842273278,False,False,
C_00064,LOT_001,False,28.6178,28.8571,28.8934,28.9804,10.7627,11.7542,11.7531,11.8021,4.0618,4.1217,4.0674,4.2974,30.037792,0.008199251429239916,False,13.307615,0.010787606112162266,False,4.108613,-9.088184568616869e-05,False,False,
C_00065,LOT_001,False,28.2501,27.8162,27.4963,28.6424,11.5403,11.5807,12.1362,12.3767,4.0933,4.0573,4.0847,4.0371,28.78894,0.006755141872829872,False,12.196647,0.004277407572004528,False,4.123964,0.00046294328371683974,False,False,
C_00066,LOT_001,False,25.6677,27.1168,27.1904,26.593,9.9643,10.6238,10.5734,11.0346,3.7533,3.7461,3.9041,3.7975,27.312777,0.0013609483718871977,False,11.166706,0.0037701811472574923,False,3.7965982,0.0003506819168726589,False,False,
C_00067,LOT_001,False,28.692,28.9602,29.1245,30.4816,10.5255,10.562,11.2252,12.0486,4.1474,4.167,4.3764,4.0952,30.02622,0.007402918900383841,False,11.213986,0.004527683311038551,False,4.1978154,0.00021399596002366937,False,False,
C_00068,LOT_001,False,29.4146,29.1205,29.6726,29.4607,11.3478,11.6454,12.1926,12.1899,3.6728,3.5784,3.7305,3.6035,29.924835,0.005585661146375869,False,12.147398,0.0034860971874660887,False,3.723492,0.0010075826883316054,False,False,
C_00069,LOT_001,False,31.5218,32.0348,30.5823,31.0194,9.8439,10.2652,10.2531,11.0637,3.9243,3.8094,3.8779,3.7719,32.109997,0.0005221999698215266,False,10.850013,0.004061199855804443,False,3.8873956,0.0005416362524032584,False,False,
C_00070,LOT_001,False,28.1005,30.2424,28.9092,30.1489,10.398,10.2784,10.1632,10.9492,3.4869,3.5757,3.5478,3.5337,30.06257,-0.0012488154729207352,False,10.974259,0.004832356781429718,False,3.597293,0.00014995069503784264,False,False,
C_00071,LOT_001,False,26.5334,26.7301,27.8335,28.0572,10.2364,10.3015,10.0773,10.3864,3.8027,3.7901,3.8218,3.8563,27.266304,0.003723639000786674,False,10.869131,0.003941882557339133,False,3.8798692,0.0006233973794513292,False,False,
C_00072,LOT_001,False,25.9375,24.4389,25.9179,26.4685,10.3758,10.5732,11.1346,11.4171,3.855,3.7553,3.7195,3.9874,26.021093,0.010987453948126898,False,11.159638,0.004072488922542996,False,3.8651223,0.0007626549879709873,False,False,
C_00073,LOT_001,False,27.773,28.6338,29.6473,29.9544,9.9552,9.9614,10.3928,10.5758,3.6036,3.5942,3.5806,3.5798,28.683708,0.00034658465915255517,False,10.505452,0.003778139972686772,False,3.636803,0.0002958535538779376,False,False,
C_00074,LOT_001,False,28.4107,29.0203,29.4968,29.1041,9.978,10.393,11.1798,10.4748,4.1961,4.263,4.0819,4.1214,29.510883,0.003406828689575203,False,10.850013,0.0031736998558044385,False,4.2122264,-0.000352594508065117,False,False,
C_00075,LOT_001,False,25.1514,26.0227,25.3017,26.3367,9.8979,10.689,10.9011,11.1859,3.8184,3.8535,4.0167,3.9772,26.447432,0.002949524752298988,False,11.280099,0.004104853577084011,False,3.9242373,0.0004912309116787386,False,False,
C_00076,LOT_001,False,26.6247,25.889,26.6596,26.744,9.7686,10.3868,10.4571,11.0716,3.8392,3.9895,4.0301,3.9872,26.823141,0.006487090958489317,False,10.807162,0.0029191825336880215,False,4.013074,0.00016370778613620303,False,False,
C_00077,LOT_001,False,29.5733,30.2752,30.3176,31.1125,10.8188,10.7986,11.3417,11.7995,3.7347,3.6911,3.8294,3.7722,30.4669,0.0013312491099039597,False,11.4232,0.004337497594621443,False,3.7345257,0.0003015672259860565,False,False,
C_00078,LOT_001,False,31.6578,31.1911,31.2538,30.4223,9.109,9.4258,9.3303,10.0885,4.0602,4.0198,4.0453,4.1518,31.071825,-0.0008282984203762389,False,9.995177,0.003954008812374534,False,4.115721,0.0006661196231842038,False,False,
C_00079,LOT_001,False,26.9098,27.2206,27.4522,27.0164,11.3359,11.271,11.241,11.1703,3.7648,3.7363,3.8301,3.8086,27.849401,0.004366676902770989,False,11.92778,0.004560973273383241,False,3.8311353,0.0006585782845815026,False,False,
C_00080,LOT_001,False,28.9494,29.2457,30.5109,30.4323,10.4189,10.5843,10.9942,11.0009,4.3062,4.2312,4.3051,4.3452,30.02622,0.005420280011494959,False,11.197663,0.004259467411041255,False,4.293674,0.0004338471677568203,False,False,
C_00081,LOT_002,False,22.4784,22.3373,21.4406,22.2405,8.7848,8.7775,8.7481,8.5445,4.458,4.666,4.7796,4.5683,23.157831,0.005698133277893073,False,8.899608,0.0008479698499043793,False,4.69093,0.00017312423388162992,False,False,
C_00082,LOT_002,True,21.1342,27.8034,36.6097,41.7951,8.8171,11.5456,14.8404,17.0056,4.6361,4.8043,5.4187,6.0736,42.922737,0.104995396677653,True,17.513174,0.04144148650699191,True,5.1622896,0.0024860390239291753,False,True,"iddq_ua,leakage_ua"
C_00083,LOT_002,False,22.4505,23.5293,24.0866,24.7376,8.9851,8.9926,8.9647,8.71,4.1944,4.1162,4.2732,4.3079,23.834164,0.002117108790079758,False,9.171448,0.0012419982910156285,False,4.2600937,0.0009992617289225254,False,False,
C_00084,LOT_002,False,19.8948,19.5704,20.0327,20.5686,8.6871,8.8321,9.0451,9.2722,4.309,4.3131,4.2435,4.3097,20.592548,0.007098252571953672,False,9.027758,0.001358733643425832,False,4.3463316,0.00023077497482299543,False,False,
C_00085,LOT_002,False,21.8869,22.3953,22.9844,22.569,8.7436,9.2455,9.2425,9.1569,4.1029,4.337,4.452,4.4363,22.991959,0.004143462626139331,False,9.266254,0.0001441279517279743,False,4.347821,7.514746983846206e-05,False,False,
C_00086,LOT_002,False,22.5589,21.9104,21.9468,21.6318,9.1296,8.9177,9.5385,9.4376,4.3908,4.33,4.3009,4.3648,22.536682,0.004349181450737853,False,9.227461,0.0021511170917087132,False,4.4368873,0.0007422726684146452,False,False,
C_00087,LOT_002,False,22.6625,21.2977,23.3828,21.6543,8.8372,9.1525,9.2922,9.2621,4.1338,4.1907,4.4071,4.1822,22.433887,0.007890190845065655,False,9.324072,0.0011914714177449553,False,4.1704745,-0.00014045465787251545,False,False,
C_00088,LOT_002,False,20.7398,22.182,21.7178,21.4011,8.5255,8.9179,8.9719,8.5983,4.2504,4.1561,4.1008,4.2722,21.932442,-0.0017330436706542872,False,8.97752,0.000414027701483836,False,4.292077,0.0009442851702372209,False,False,
C_00089,LOT_002,False,21.3684,20.7425,21.46,21.5682,8.671,8.4043,8.5047,8.2148,4.4446,4.4169,4.5498,4.5453,21.851252,0.007699663903978138,False,8.747364,0.0023823891957600964,False,4.5397444,0.0008530859523349335,False,False,
C_00090,LOT_002,False,23.5733,23.1979,23.2076,22.9825,8.4537,8.6463,9.0637,8.6477,4.4046,4.4683,4.4116,4.4293,23.955807,0.005263241195678707,False,8.916799,0.0018784624417622878,False,4.4745827,4.3629667494031e-05,False,False,
C_00091,LOT_002,False,21.528,21.6521,22.4079,22.5241,9.1086,9.0573,9.2379,9.3087,3.9594,4.1695,4.1579,4.0296,22.342335,0.004793296856350364,False,9.309537,0.001751645374298098,False,4.135605,-0.0002353829277886299,False,False,
C_00092,LOT_002,False,22.5274,22.7049,22.4791,22.6574,9.1055,9.1762,9.1866,9.498,4.5283,4.7024,4.5529,4.6695,23.217237,0.0035578991148207026,False,9.404642,0.0015864035076565235,False,4.7448807,0.00029500469631618984,False,False,
C_00093,LOT_002,True,22.083,35.9952,54.3287,66.6165,8.9662,12.4321,17.2212,20.4625,4.3402,4.823,5.3591,5.4189,66.422554,0.21130106955634226,True,20.701963,0.05742960711585151,True,5.5277157,0.004893858909606931,True,True,"iddq_ua,leakage_ua,prop_delay_ns"
C_00094,LOT_002,False,22.773,22.5322,23.0458,22.9053,8.288,8.2755,8.8694,8.6627,4.3086,4.3498,4.2528,4.3753,23.23775,0.004899646525912817,False,8.585949,0.0021558954450819285,False,4.3931236,0.0003008585188123907,False,False,
C_00095,LOT_002,False,22.575,23.3181,23.5024,23.9182,7.6608,7.4791,7.7415,7.916,4.527,4.5629,4.4538,4.3936,23.693085,0.002604060533311624,False,7.977592,0.003461749940448338,False,4.598457,0.0002469226360321048,False,False,
C_00096,LOT_002,False,20.6316,20.8385,21.2176,21.073,9.0027,8.8673,8.8871,9.2681,4.5617,4.5936,4.6757,4.6788,21.35324,0.0035745768017239055,False,9.222004,0.00246322178310818,False,4.654911,0.0004257711198594811,False,False,
C_00097,LOT_002,False,23.069,23.6793,23.5207,23.9842,8.3396,8.7648,8.4196,8.6512,4.6012,4.5085,4.5284,4.831,24.123838,0.0030870723936292765,False,8.926537,0.0011231705559624618,False,4.5484166,0.0002771987120310484,False,False,
C_00098,LOT_002,False,22.9054,23.2813,23.4202,23.083,8.511,8.3634,8.5289,8.5543,4.515,4.7385,4.7012,4.7161,23.740406,0.0031882363637288297,False,8.669679,0.0021269353336758057,False,4.724205,-9.927071465386394e-05,False,False,
C_00099,LOT_002,False,20.4446,20.6875,21.023,20.8364,10.0792,10.0934,10.1214,10.3312,4.8849,4.8349,5.0436,5.0542,21.263641,0.0040009816487630205,False,10.469291,0.0026103523148430664,False,4.932907,0.0006806048923068562,False,False,
C_00100,LOT_002,False,19.3278,19.2987,19.6651,19.9887,9.6027,9.7121,10.0616,10.189,4.42,4.4332,4.5519,4.596,20.225332,0.006434946250915526,False,9.9717455,0.0018030936876932814,False,4.509557,0.0005302553494771304,False,False,
C_00101,LOT_002,False,21.756,21.5867,22.2197,22.0216,9.4708,9.1265,9.4542,9.5681,4.1782,4.3324,4.2052,4.2447,22.325834,0.0051328769048054985,False,9.55715,0.002990624215867784,False,4.3251185,-5.056568251715632e-05,False,False,
C_00102,LOT_002,False,20.8469,22.2082,22.4749,22.321,7.889,8.1972,8.3639,8.353,4.0956,3.9336,4.03,4.1057,21.932442,-0.0019149881150987518,False,8.631427,0.0030154639667934807,False,4.061141,0.0008857014867994506,False,False,
C_00103,LOT_002,False,21.0146,21.3648,21.5716,21.4275,9.3187,9.5376,9.5145,9.0235,3.8464,3.9971,4.0405,3.9949,21.625778,0.0018123485989040874,False,9.686739,0.0010356872770521416,False,4.034648,0.0002607495943705234,False,False,
C_00104,LOT_002,False,22.5171,23.508,23.2978,22.4248,7.7419,8.4379,8.4525,8.7737,4.5019,4.6775,4.7003,4.882,23.707083,0.0013825190862019917,False,8.760066,0.002237264113956022,False,4.7423286,0.00045019891526963825,False,False,
C_00105,LOT_002,False,21.7452,21.737,22.5246,22.678,8.3149,8.0709,8.5525,8.7486,4.8203,4.7819,4.8827,5.0829,22.412022,0.004687650256686752,False,8.675136,0.00419608064227634,False,4.885218,0.0007174871073828785,False,False,
